"","bbl, address_1, city, state","No_Match"
"33","1013600001, 866 UN Plaza, New York, New York","No_Match"
"34","3019230020, 203 Emerson Pl, New York, New York","No_Match"
"35","1007299001, 450 West 33rd Street, New York, New York","No_Match"
"36","1128707501, 645 5th Avenue, New York, New York","No_Match"
"37","1008380047, 400 Fifth Avenue, New York, New York","No_Match"
"38","1012720039, 730 5th Ave, New York, New York","No_Match"
"39","1018320001, 65-75 West 96th Street, New York, New York","No_Match"
"380","4014850047, 40-40 75th Street, New York, New York","No_Match"
"260","1008200001, 620 6th Ave, New York, New York","No_Match"
"381","4111981128, 110-39 Springfield Blvd., New York, New York","No_Match"
"140","1005700032, 21 East 12th Street, New York, New York","No_Match"
"261","2039440003, 1601 Metropolitan Avenue, New York, New York","No_Match"
"382","3022630067, 505 Flushing Ave, New York, New York","No_Match"
"141","1008180003, 590 Avenue of Americas, New York, New York","No_Match"
"262","1004110046, 150 Ludlow Street, New York, New York","No_Match"
"383","3022630062, 515 Flushing Ave., New York, New York","No_Match"
"142","4050240064, 144-45 41 Avenue, New York, New York","No_Match"
"263","1004110047, 150 Ludlow Street, New York, New York","No_Match"
"384","2022150591, 120 West 228th ST, New York, New York","No_Match"
"143","4102000071, 110-42 Merrick Blvd., New York, New York","No_Match"
"264","1004110048, 150 Ludlow Street, New York, New York","No_Match"
"385","1008040021, 127 West 28 Street, New York, New York","No_Match"
"144","1015170020, 141 East 88th St., New York, New York","No_Match"
"265","3002440017, 177 Montague Street, New York, New York","No_Match"
"386","1009310031, 433 First Avenue / 339 25th Street, New York, New York","No_Match"
"145","1015170050, 1329 Lexington Ave, New York, New York","No_Match"
"266","4050431001, 136-05 Sanford Avenue, New York, New York","No_Match"
"387","1013020001, 277 Park Avenue, 47th floor, New York, New York","No_Match"
"146","1001000007, 157 WEST 47TH STREET, New York, New York","No_Match"
"267","1021300000, 622 West 168th Street, New York, New York","No_Match"
"388","2029290050, 3952 Third Avenue, New York, New York","No_Match"
"147","1001242024, 215 WEST 94TH STREET, New York, New York","No_Match"
"268","1038190001, 2200 Powell Ave, New York, New York","No_Match"
"389","1020019005, 3333 Broadway, New York, New York","No_Match"
"148","1001026041, 210 WEST 55TH STREET, New York, New York","No_Match"
"269","1018751001, 2700 Broadway, New York, New York","No_Match"
"149","1001020051, 224 W 49TH STREET, New York, New York","No_Match"
"40","4020800101, 61-35 Junction Blvd, New York, New York","No_Match"
"41","2257500065, 387 Southern BLVD, New York, New York","No_Match"
"42","3037010007, 300 Liberty Avenue, New York, New York","No_Match"
"43","1008230037, 162 Fifth Avenue, New York, New York","No_Match"
"44","1012260001, 721-739 Amsterdam Ave., New York, New York","No_Match"
"45","1002899001, 44 Division St, New York, New York","No_Match"
"46","1007050046, 516 W 34th Street, New York, New York","No_Match"
"47","4020820101, 61-25 97 ST, New York, New York","No_Match"
"48","1004660005, 55 3rd Avenue, New York, New York","No_Match"
"49","1123451234, 100 Paper St, New York, New York","No_Match"
"390","1008010021, 127 West 25th Street, New York, New York","No_Match"
"270","1018751002, 2700 Broadway, New York, New York","No_Match"
"391","5022500370, 140 Meisner Ave, New York, New York","No_Match"
"150","1007400055, 355 WEST 16th Street, New York, New York","No_Match"
"271","1018810004, 2828 Broadway, New York, New York","No_Match"
"392","1007990064, 142 West 24th Street, New York, New York","No_Match"
"151","1000410001, 70 Pine Street, New York, New York","No_Match"
"272","2030610007, 4278 Third Avenue, New York, New York","No_Match"
"393","1008270044, 212 5th Avenue, New York, New York","No_Match"
"152","4000710024, 23-02 49th Avenue, New York, New York","No_Match"
"273","2030610009, 4278 Third Avenue, New York, New York","No_Match"
"394","1000510017, 74 Trinity Place, New York, New York","No_Match"
"153","3020130013, 545 Washington Ave, New York, New York","No_Match"
"274","2030610011, 4278 Third Avenue, New York, New York","No_Match"
"395","2039371011, 1409 Metropolitan Ave, New York, New York","No_Match"
"154","4033210025, 83-30 118 st., New York, New York","No_Match"
